BW	Wahlbezirk kurz	Wahlbezirk	WB Datawrapper	Bezirk	Name Wahllokal	Raum	Straße	Hausnummer	PLZ	Briefwahl	Adresse
75	100	0175100	01100	Mitte	48. Grundschule	Raum A 001 / Mensa links	Boyenstr.	1	13353	0	Boyenstr. 1, 13353
75	107	0175107	01107	Mitte	Volkshochschule Berlin Mitte	1. Etage / Raum 1 12	Linienstr.	162	10115	0	Linienstr. 162, 10115
75	109	0175109	01109	Mitte	Gustav-Falke-Schule	Turnhalle links	Stralsunder Str.	43	13355	0	Stralsunder Str. 43, 13355
75	110	0175110	01110	Mitte	Papageno-Schule	Mensa	Bergstr.	58	10115	0	Bergstr. 58, 10115
75	112	0175112	01112	Mitte	Volkshochschule Berlin Mitte	2. Etage / Raum 2 02	Linienstr.	162	10115	0	Linienstr. 162, 10115
75	113	0175113	01113	Mitte	Papageno-Schule	Mensa	Bergstr.	58	10115	0	Bergstr. 58, 10115
75	117	0175117	01117	Mitte	Schule am Arkonaplatz	Turnhalle	Ruppiner Str.	47	10115	0	Ruppiner Str. 47, 10115
75	118	0175118	01118	Mitte	Schule am Arkonaplatz	Turnhalle	Ruppiner Str.	47	10115	0	Ruppiner Str. 47, 10115
75	120	0175120	01120	Mitte	John-Lennon-Schule	Raum 002	Zehdenicker Str.	17	10119	0	Zehdenicker Str. 17, 10119
75	124	0175124	01124	Mitte	OSZ Banken,Immobilien und Versicherungen	Raum 1.1.24	Alt-Moabit	10	10557	0	Alt-Moabit 10, 10557
